44.41 , 3d:7.92:3.26:-92.91 : 0:0:0 , 0:92.91 , 0:-3.26 , 0:-7.92 , 1:13.22 , 1:-1.44 , 1:1.57 , 2:-9.79 , 2:-0.15 , 2:-0.15 ,
44.43 , 3d:8.07:3.27:-93.27 : 0:0:0 , 0:93.27 , 0:-3.27 , 0:-8.07 , 1:15.22 , 1:-8.95 , 1:1.45 , 2:-9.65 , 2:-0.17 , 2:-0.17 ,
44.44 , 3d:8.13:3.28:-93.38 : 0:0:0 , 0:93.38 , 0:-3.28 , 0:-8.13 , 1:16.19 , 1:-7.85 , 1:2.60 , 2:-9.52 , 2:-0.23 , 2:-0.23 ,
44.45 , 3d:8.17:3.30:-93.49 : 0:0:0 , 0:93.49 , 0:-3.30 , 0:-8.17 , 1:17.35 , 1:-7.05 , 1:3.68 , 2:-9.45 , 2:-0.16 , 2:-0.16 ,
44.45 , 3d:8.20:3.31:-93.55 : 0:0:0 , 0:93.55 , 0:-3.31 , 0:-8.20 , 1:17.76 , 1:-6.86 , 1:3.99 , 2:-9.47 , 2:-0.08 , 2:-0.08 ,
44.46 , 3d:8.25:3.34:-93.69 : 0:0:0 , 0:93.69 , 0:-3.34 , 0:-8.25 , 1:17.40 , 1:-6.30 , 1:4.55 , 2:-9.60 , 2:0.00 , 2:0.00 ,
44.46 , 3d:8.29:3.37:-93.80 : 0:0:0 , 0:93.80 , 0:-3.37 , 0:-8.29 , 1:16.59 , 1:-6.47 , 1:4.12 , 2:-9.51 , 2:0.08 , 2:0.08 ,
44.47 , 3d:8.31:3.38:-93.85 : 0:0:0 , 0:93.85 , 0:-3.38 , 0:-8.31 , 1:15.84 , 1:-6.45 , 1:3.79 , 2:-9.52 , 2:0.14 , 2:0.14 ,
44.47 , 3d:8.35:3.39:-93.93 : 0:0:0 , 0:93.93 , 0:-3.39 , 0:-8.35 , 1:14.99 , 1:-7.00 , 1:3.38 , 2:-9.59 , 2:0.25 , 2:0.25 ,
44.48 , 3d:8.38:3.40:-94.00 : 0:0:0 , 0:94.00 , 0:-3.40 , 0:-8.38 , 1:13.54 , 1:-7.46 , 1:2.93 , 2:-9.61 , 2:0.26 , 2:0.26 ,
44.48 , 3d:8.42:3.41:-94.06 : 0:0:0 , 0:94.06 , 0:-3.41 , 0:-8.42 , 1:12.57 , 1:-7.23 , 1:2.29 , 2:-9.64 , 2:0.29 , 2:0.29 ,
44.48 , 3d:8.44:3.42:-94.10 : 0:0:0 , 0:94.10 , 0:-3.42 , 0:-8.44 , 1:11.84 , 1:-7.60 , 1:1.85 , 2:-9.62 , 2:0.31 , 2:0.31 ,
44.49 , 3d:8.47:3.42:-94.14 : 0:0:0 , 0:94.14 , 0:-3.42 , 0:-8.47 , 1:11.11 , 1:-7.66 , 1:2.00 , 2:-9.55 , 2:0.31 , 2:0.31 ,
